ps -aux >> 03.report.process.shell.txt

USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       731  0.0  0.0      0     0 ?        I<   08:37   0:00 [kcryptd_io]
root       732  0.0  0.0      0     0 ?        I<   08:37   0:00 [kcryptd]
root       733  0.0  0.0      0     0 ?        S    08:37   0:00 [dmcrypt_write]
root       739  0.0  0.0      0     0 ?        I<   08:37   0:00 [kworker/u25:3-hci0]
root       845  0.0  0.0      0     0 ?        D    08:37   0:00 [jbd2/sda2-8]
root       846  0.0  0.0      0     0 ?        I<   08:37   0:00 [ext4-rsv-conver]
systemd+   897  0.0  0.1  52616  8468 ?        Ss   08:37   0:00 /lib/systemd/systemd-resolved
systemd+   898  0.0  0.0 111872  5700 ?        Ssl  08:37   0:00 /lib/systemd/systemd-timesyncd
root      1070  0.0  0.1 264760  8572 ?        Ssl  08:37   0:00 /usr/lib/accountsservice/accounts-daemon
root      1071  0.0  0.1 449800 13920 ?        Ssl  08:37   0:00 /usr/lib/udisks2/udisksd
root      1107  0.0  0.2  58044 17376 ?        Ss   08:37   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      1108  0.0  0.1 329896  9628 ?        Ssl  08:37   0:00 /usr/sbin/ModemManager --filter-policy=strict
root      1117  0.0  0.0  36232  5928 ?        Ss   08:37   0:00 /lib/systemd/systemd-logind
avahi     1118  0.0  0.0  18812  3756 ?        Ss   08:37   0:03 avahi-daemon: running [pop-os.local]
message+  1130  0.0  0.0  23016  5876 ?        Ss   08:37   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root      1135  0.0  0.0  21540  7628 ?        Ss   08:37   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1136  0.0  0.2 477292 18840 ?        Ssl  08:37   0:01 /usr/sbin/NetworkManager --no-daemon
root      1137  0.0  0.0  18296  4644 ?        Ss   08:37   0:00 /usr/lib/bluetooth/bluetoothd
